"words: ('Starts_Capital',), tags: ('DT',)",1231
"words: ('PREFIX_T',), tags: ('DT',)",1026
"words: ('PREFIX_Th',), tags: ('DT',)",1022
"words: ('PREFIX_The',), tags: ('DT',)",897
"words: ('SUFFIX_e',), tags: ('DT',)",6558
"words: ('SUFFIX_he',), tags: ('DT',)",6195
"words: ('SUFFIX_The',), tags: ('DT',)",875
"words: ('The',), tags: ('DT',)",875
"words: (), tags: ('DT',)",21096
"words: ('┻━┻', 'The'), tags: ('┻━┻', 'DT')",807
"words: ('┻━┻',), tags: ('┻━┻', 'DT')",1134
"words: ('┻━┻', '┻━┻', 'The'), tags: ('┻━┻', '┻━┻', 'DT')",807
"words: ('┻━┻', '┻━┻'), tags: ('┻━┻', '┻━┻', 'DT')",1134
"words: ('Is_alnum',), tags: ('DT',)",10548
"words: ('Length_2-4',), tags: ('DT',)",7264
"words: (), tags: ('┻━┻', 'DT')",1134
"words: (), tags: ('┻━┻', '┻━┻', 'DT')",1134
"words: ('Starts_Capital',), tags: ('NNP',)",12381
"words: ('PREFIX_T',), tags: ('NNP',)",476
"words: ('PREFIX_Tr',), tags: ('NNP',)",99
"words: ('PREFIX_Tre',), tags: ('NNP',)",45
"words: ('PREFIX_Trea',), tags: ('NNP',)",45
"words: ('SUFFIX_y',), tags: ('NNP',)",906
"words: ('SUFFIX_ry',), tags: ('NNP',)",144
"words: ('SUFFIX_ury',), tags: ('NNP',)",53
"words: ('SUFFIX_sury',), tags: ('NNP',)",42
"words: ('Treasury',), tags: ('NNP',)",42
"words: (), tags: ('NNP',)",24834
"words: ('The', 'Treasury'), tags: ('DT', 'NNP')",12
"words: ('The',), tags: ('DT', 'NNP')",126
"words: ('┻━┻', 'The', 'Treasury'), tags: ('┻━┻', 'DT', 'NNP')",12
"words: ('┻━┻', 'The'), tags: ('┻━┻', 'DT', 'NNP')",119
"words: ('Is_alnum',), tags: ('NNP',)",10444
"words: ('Length_6-8',), tags: ('NNP',)",2786
"words: (), tags: ('DT', 'NNP')",1145
"words: (), tags: ('┻━┻', 'DT', 'NNP')",137
"words: ('PREFIX_i',), tags: ('VBZ',)",1024
"words: ('PREFIX_is',), tags: ('VBZ',)",981
"words: ('SUFFIX_s',), tags: ('VBZ',)",2936
"words: ('SUFFIX_is',), tags: ('VBZ',)",981
"words: ('is',), tags: ('VBZ',)",981
"words: (), tags: ('VBZ',)",5872
"words: ('Is_alnum',), tags: ('VBZ',)",2784
"words: ('Length_1-2',), tags: ('VBZ',)",1138
"words: (), tags: ('NNP', 'VBZ')",480
"words: (), tags: ('DT', 'NNP', 'VBZ')",37
"words: ('PREFIX_s',), tags: ('RB',)",289
"words: ('PREFIX_st',), tags: ('RB',)",75
"words: ('PREFIX_sti',), tags: ('RB',)",63
"words: ('PREFIX_stil',), tags: ('RB',)",63
"words: ('SUFFIX_l',), tags: ('RB',)",145
"words: ('SUFFIX_ll',), tags: ('RB',)",144
"words: ('SUFFIX_ill',), tags: ('RB',)",82
"words: ('SUFFIX_till',), tags: ('RB',)",82
"words: ('still',), tags: ('RB',)",63
"words: (), tags: ('RB',)",7766
"words: ('is', 'still'), tags: ('VBZ', 'RB')",14
"words: ('is',), tags: ('VBZ', 'RB')",193
"words: ('Is_alnum',), tags: ('RB',)",3461
"words: ('Length_4-6',), tags: ('RB',)",753
"words: (), tags: ('VBZ', 'RB')",404
"words: (), tags: ('NNP', 'VBZ', 'RB')",66
"words: ('PREFIX_w',), tags: ('VBG',)",62
"words: ('PREFIX_wo',), tags: ('VBG',)",31
"words: ('PREFIX_wor',), tags: ('VBG',)",29
"words: ('PREFIX_work',), tags: ('VBG',)",27
"words: ('SUFFIX_g',), tags: ('VBG',)",2016
"words: ('SUFFIX_ng',), tags: ('VBG',)",2016
"words: ('SUFFIX_ing',), tags: ('VBG',)",2016
"words: ('SUFFIX_king',), tags: ('VBG',)",175
"words: ('working',), tags: ('VBG',)",27
"words: (), tags: ('VBG',)",4040
"words: ('still',), tags: ('RB', 'VBG')",13
"words: ('is', 'still'), tags: ('VBZ', 'RB', 'VBG')",7
"words: ('Is_alnum',), tags: ('VBG',)",2017
"words: ('Length_6-8',), tags: ('VBG',)",848
"words: (), tags: ('RB', 'VBG')",134
"words: (), tags: ('VBZ', 'RB', 'VBG')",33
"words: ('PREFIX_o',), tags: ('RP',)",131
