,VBZ,NN,JJR,IN,'',:,WRB,VBP,-LRB-,NNS,RBS,RBR,RP,PRP$,WDT,JJS,NNPS,EX,NNP,POS,",",WP$,RB,VB,DT,CC,``,JJ,CD,$,VBN,-RRB-,VBD,VBG,FW,PDT,.,WP,PRP,SYM,┬─┬,TO,#,MD,UH
VBZ,432,5,0,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
NN,0,3013,20,9,0,0,0,21,0,17,0,3,0,2,0,5,0,0,15,0,0,0,37,33,6,2,0,214,10,0,10,0,24,27,2,1,0,0,3,0,0,0,1,2,0
JJR,0,0,47,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,0,17,4,2453,0,0,1,10,0,0,0,2,9,0,18,0,0,0,1,0,0,0,27,7,21,0,0,4,1,0,2,0,6,0,0,1,0,5,3,0,0,0,0,2,0
'',0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WRB,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VBP,0,12,1,0,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,5,0,0,1,0,10,0,0,0,0,0,1,0,0,0,0,1,0
-LRB-,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NNS,54,23,0,1,0,0,0,0,0,1411,0,0,0,1,0,0,7,0,7,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2
RBS,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBR,0,1,18,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP,0,1,0,16,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRP$,0,1,0,0,0,0,0,0,0,1,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WDT,0,0,0,12,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JJS,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,47,0,0,1,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NNPS,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,13,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NNP,0,40,2,11,0,0,3,1,0,4,0,1,0,3,0,1,59,0,1933,0,0,0,14,1,1,0,0,44,2,0,1,0,0,4,0,0,0,1,21,0,0,1,0,0,1
POS,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
